Component,Attack Strategy,Performance Metric,AUC,AUC Interpretation,Threshold 1,Removal at Threshold 1 (%),Threshold 2,Removal at Threshold 2 (%),Threshold 3,Removal at Threshold 3 (%)
Link,LSCC-targeted,GNE retained,0.3989,Higher is better,Retained = 90%,1.2896,Retained = 80%,2.9308,Retained = 50%,9.8218
Link,LSCC-targeted,LSCC retained,0.2028,Higher is better,Retained = 90%,0.9006,Retained = 80%,1.8012,Retained = 50%,7.6127
Link,LSCC-targeted,Reachable OD demand,0.1952,Higher is better,Retained = 90%,0.8047,Retained = 80%,1.6093,Retained = 50%,5.9766
Link,LSCC-targeted,TTD loss,2.5118,Lower is better,TTD loss = 10%,0.2493,TTD loss = 25%,0.6232,TTD loss = 50%,1.2464
Link,GNE-targeted,GNE retained,0.1202,Higher is better,Retained = 90%,0.379,Retained = 80%,0.7579,Retained = 50%,1.8948
Link,GNE-targeted,LSCC retained,0.3604,Higher is better,Retained = 90%,2.3912,Retained = 80%,4.7437,Retained = 50%,13.1539
Link,GNE-targeted,Reachable OD demand,0.1705,Higher is better,Retained = 90%,0.6848,Retained = 80%,1.3696,Retained = 50%,4.3522
Link,GNE-targeted,TTD loss,2.5861,Lower is better,TTD loss = 10%,0.2115,TTD loss = 25%,0.5288,TTD loss = 50%,1.0576
Link,BC-targeted,GNE retained,0.371,Higher is better,Retained = 90%,1.5729,Retained = 80%,3.3357,Retained = 50%,9.1841
Link,BC-targeted,LSCC retained,0.3056,Higher is better,Retained = 90%,2.7416,Retained = 80%,6.1691,Retained = 50%,9.7646
Link,BC-targeted,Reachable OD demand,0.262,Higher is better,Retained = 90%,2.0261,Retained = 80%,4.8683,Retained = 50%,8.1991
Link,BC-targeted,TTD loss,2.3443,Lower is better,TTD loss = 10%,0.4719,TTD loss = 25%,1.1798,TTD loss = 50%,2.4044
Link,Random,GNE retained,0.4157,Higher is better,Retained = 90%,2.7974,Retained = 80%,5.409,Retained = 50%,13.1527
Link,Random,LSCC retained,0.3318,Higher is better,Retained = 90%,4.5014,Retained = 80%,7.5615,Retained = 50%,13.6696
Link,Random,Reachable OD demand,0.3322,Higher is better,Retained = 90%,4.0324,Retained = 80%,6.8689,Retained = 50%,13.242
Link,Random,TTD loss,2.1502,Lower is better,TTD loss = 10%,1.1567,TTD loss = 25%,2.6584,TTD loss = 50%,4.689
Link,TTD-targeted,GNE retained,0.2793,Higher is better,Retained = 90%,0.5551,Retained = 80%,1.1102,Retained = 50%,4.951
Link,TTD-targeted,LSCC retained,0.3366,Higher is better,Retained = 90%,1.7354,Retained = 80%,6.0683,Retained = 50%,14.17
Link,TTD-targeted,Reachable OD demand,0.1619,Higher is better,Retained = 90%,0.4888,Retained = 80%,0.9776,Retained = 50%,3.4561
