Rank,Component ID,Road Name,highway,from_node,to_node,Hospital Accessibility Loss (%),Mean Hospital Distance Change (m),P90 Hospital Distance Change (m),BC,GNE Loss (%),LSCC Loss (%),TTD Loss (%)
1,2489,HUNG LUEN ROAD,tertiary,1504,223,4.7235,-33.8469,70.7205,0.027,3.7899,0.1943,6.5813
2,2426,WA SHUN STREET,residential,1463,1504,4.7235,-33.9243,70.7205,0.0207,3.6023,0.0648,6.3777
3,1843,KIN WAN STREET,residential,1114,543,2.3896,-10.219,50.5082,0.0172,3.1579,0.1295,5.3106
4,44,TAT CHEE AVENUE,secondary,23,1480,1.5004,-5.7043,27.84,0.0079,0.353,0.9715,2.4186
5,87,MUSEUM DRIVE,trunk,50,170,1.5004,-42.926,-78.856,0.0001,0.0029,0.0,0.0339
6,426,TAT CHEE AVENUE,secondary,253,23,1.4726,-5.7843,27.84,0.0079,0.3608,0.9067,2.4362
7,2425,KIN WAN STREET,residential,1462,1114,1.3893,-6.428,27.84,0.0146,3.7289,0.0648,4.4908
8,29,WEST KOWLOON CORRIDOR,trunk,15,16,1.2781,-27.0963,-64.2802,0.0243,0.8736,0.2591,6.2728
9,2699,YEN CHOW STREET,trunk,1635,15,1.2781,-27.3512,-64.2802,0.0203,0.872,0.0,6.2653
10,2069,CONCORDE ROAD,secondary,1246,1224,1.2226,-2.1679,26.4295,0.0139,0.5016,0.5829,4.2703
