component,strategy,metric,auc
link,lscc,reachable_share,0.31926924145596
link,lscc,mean_m_ratio,0.7810277548846696
link,lscc,median_m_ratio,0.3667471261515384
link,lscc,p90_m_ratio,1.246014368206819
link,lscc,p95_m_ratio,1.896628329389203
link,od_eff,reachable_share,0.3944776326757433
link,od_eff,mean_m_ratio,0.6169901660897604
link,od_eff,median_m_ratio,0.6091194952945814
link,od_eff,p90_m_ratio,0.7272482830432181
link,od_eff,p95_m_ratio,0.6970012690429616
link,odbc,reachable_share,0.5106348985829396
link,odbc,mean_m_ratio,1.2715951865351474
link,odbc,median_m_ratio,1.0507336620095018
link,odbc,p90_m_ratio,1.795412304200928
link,odbc,p95_m_ratio,1.7625491603951384
link,random,reachable_share,0.43705728443086045
link,random,mean_m_ratio,0.8868573380819573
link,random,median_m_ratio,0.70019881461506
link,random,p90_m_ratio,1.3130215514819332
link,random,p95_m_ratio,1.2356443066780907
link,td,reachable_share,0.3981869963878856
link,td,mean_m_ratio,0.7368332355560686
link,td,median_m_ratio,0.7638609936939396
link,td,p90_m_ratio,0.9336834179784876
link,td,p95_m_ratio,0.8384912098979798
node,lscc,reachable_share,0.35649492984863923
node,lscc,mean_m_ratio,0.8307848237367962
node,lscc,median_m_ratio,0.4646028939343467
node,lscc,p90_m_ratio,1.4207634450165485
node,lscc,p95_m_ratio,1.8773082097707008
node,od_eff,reachable_share,0.3245093334006921
node,od_eff,mean_m_ratio,0.9609534300849122
node,od_eff,median_m_ratio,0.9702830518868367
node,od_eff,p90_m_ratio,1.1593770596333808
node,od_eff,p95_m_ratio,1.0580501214269866
node,odbc,reachable_share,0.523416397131318
node,odbc,mean_m_ratio,1.5972473297934402
node,odbc,median_m_ratio,1.6062258582880808
node,odbc,p90_m_ratio,2.0936509320872667
node,odbc,p95_m_ratio,1.8180412733055369
node,random,reachable_share,0.3583891081390386
node,random,mean_m_ratio,0.8182134847838525
node,random,median_m_ratio,0.6230417651860737
node,random,p90_m_ratio,1.2467312793040863
node,random,p95_m_ratio,1.215679084350331
node,td,reachable_share,0.2589834758492719
node,td,mean_m_ratio,1.3514827390359792
node,td,median_m_ratio,1.3574701333492452
node,td,p90_m_ratio,1.4956440849229156
node,td,p95_m_ratio,1.351913164611212
