entity,metric,stat,value
node,odbc,min,0.0
node,odbc,median,0.01153249641141807
node,odbc,p90,0.039825371789582106
node,odbc,p95,0.04953045552503015
node,odbc,max,0.10852536346532436
link,odbc,min,0.0
link,odbc,median,0.0053181898725430925
link,odbc,p90,0.02609836052225775
link,odbc,p95,0.03460500808807096
link,odbc,max,0.08296337446314055
node,od_eff_loss,min,0.0
node,od_eff_loss,median,0.0012066575933244333
node,od_eff_loss,p90,0.007040182527662112
node,od_eff_loss,p95,0.011046748332900138
node,od_eff_loss,max,0.11767858249862048
link,od_eff_loss,min,0.0
link,od_eff_loss,median,0.0003165487027327622
link,od_eff_loss,p90,0.0030423650174634755
link,od_eff_loss,p95,0.004802100216946012
link,od_eff_loss,max,0.039022933134754675
node,lscc_loss,min,0.0
node,lscc_loss,median,0.0012953367875647315
node,lscc_loss,p90,0.0032383419689119533
node,lscc_loss,p95,0.004533678756476684
node,lscc_loss,max,0.017487046632124373
link,lscc_loss,min,0.0
link,lscc_loss,median,0.0
link,lscc_loss,p90,0.0019430051813470973
link,lscc_loss,p95,0.002979274611398898
link,lscc_loss,max,0.012953367875647688
node,td_loss,min,0.0
node,td_loss,median,0.0031617964240041752
node,td_loss,p90,0.02524059534444029
node,td_loss,p95,0.03905356678718956
node,td_loss,max,0.1140357351341829
link,td_loss,min,0.0
link,td_loss,median,0.0005602240967990519
link,td_loss,p90,0.00848333433988663
link,td_loss,p95,0.016630499805334747
link,td_loss,max,0.0695574848335702
network,n_nodes,value,1733.0
network,n_directed_links,value,2849.0
network,raw_connector_demand,value,730035.8129514196
network,active_connector_demand,value,567073.7206150248
network,baseline_reachable_demand_share,value,0.7767752082222312
network,od_efficiency,value,0.0006718278773220594
network,lscc_share,value,0.8909405654933641
network,total_distance_m_trip,value,1574335933.3296878
network,disconnect_penalty_m,value,8551.073999999997
network,active_od_pairs,value,8621.0
network,od_source_nodes,value,832.0
