link_id,from_node,to_node,u_osm,v_osm,edge_key,osm_way,name,highway,oneway,length_m,lanes,maxspeed,ref,access,bridge,tunnel,geometry
0,0,836,30747332,1187353031,0,111783432,梳士巴利道 Salisbury Road,primary,True,10.981,2,50,,,,,"LINESTRING (114.172321 22.29478, 114.172428 22.294787)"
1,0,1096,30747332,1649047771,0,102821031,彌敦道 Nathan Road,secondary,True,91.456,2,,,,,,"LINESTRING (114.172321 22.29478, 114.17231 22.294936, 114.172307 22.294981, 114.172304 22.295025, 114.172271 22.295508, 114.172268 22.295547, 114.172264 22.295601)"
2,1,1098,30747334,1649047802,0,100220087,北京道 Peking Road,residential,True,59.013,2,,,,,,"LINESTRING (114.1722 22.296485, 114.172131 22.296478, 114.171629 22.296428)"
3,1,1106,30747334,1649048114,0,757833657,彌敦道 Nathan Road,secondary,True,186.90200000000002,2,,,,,,"LINESTRING (114.1722 22.296485, 114.172191 22.296613, 114.172126 22.297587, 114.172124 22.297614, 114.172122 22.297641, 114.172111 22.297802, 114.172101 22.297945, 114.172097 22.29801, 114.172087 22.298163)"
4,2,737,33004487,1172757801,0,102506130,彌敦道 Nathan Road,primary,True,72.396,3,,,,,,"LINESTRING (114.171095 22.310275, 114.171054 22.310708, 114.171048 22.310748, 114.171046 22.310762, 114.171038 22.310815, 114.171017 22.310922)"
5,2,1012,33004487,1636768902,0,102506142,眾坊街 Public Square Street,tertiary,True,43.11,2,,,,,,"LINESTRING (114.171095 22.310275, 114.171077 22.310274, 114.170958 22.310268, 114.170918 22.310258, 114.170681 22.31022)"
6,3,593,33004488,1151084822,0,250489279,窩打老道 Waterloo Road,primary,True,10.692,2,,,,,,"LINESTRING (114.17072 22.312965, 114.170618 22.312947)"
7,3,815,33004488,1185400607,0,102640426,彌敦道 Nathan Road,primary,True,44.692,3,,,,,,"LINESTRING (114.17072 22.312965, 114.170738 22.312878, 114.170801 22.31257)"
8,4,5,33004530,33004534,0,1097999011;37663945;102821037;85485977;85485980,廣東道 Canton Road;九龍公園徑 Kowloon Park Drive,primary,True,329.945,2,,,,yes,,"LINESTRING (114.16936 22.298832, 114.169229 22.299224, 114.169204 22.299284, 114.169178 22.299335, 114.169139 22.299405, 114.169047 22.299534, 114.168839 22.299782, 114.168518 22.300116, 114.168409 22.300246, 114.168326 22.300355, 114.168275 22.300441, 114.168234 22.30053, 114.168197 22.300623, 114.168159 22.300734, 114.168124 22.300864, 114.168092 22.301018, 114.168053 22.301238, 114.167967 22.301444)"
9,4,471,33004530,988059453,0,245457434;1097999005,九龍公園徑 Kowloon Park Drive,secondary,True,122.614,2,,,,,,"LINESTRING (114.16936 22.298832, 114.169163 22.299201, 114.168989 22.299474, 114.168778 22.299714, 114.168733 22.299764)"
10,5,1305,33004534,4844962258,0,1215181721;1215181723;102821071,廣東道 Canton Road,primary,True,166.873,4;5,,,,,,"LINESTRING (114.167967 22.301444, 114.167925 22.301734, 114.1679 22.301988, 114.167917 22.302251, 114.167954 22.302553, 114.167963 22.30268, 114.167969 22.302828, 114.167967 22.302938)"
11,6,1346,33004677,4862605959,0,778014089,梳士巴利道 Salisbury Road,primary,True,10.48,4,50,,,,,"LINESTRING (114.178427 22.297768, 114.178506 22.297827)"
12,6,213,33004677,384143869,0,37664230,麼地里 Mody Lane,tertiary,True,83.70900000000002,2,,,,,,"LINESTRING (114.178427 22.297768, 114.178364 22.297843, 114.178034 22.29822, 114.178008 22.298249, 114.177905 22.298344)"
13,7,837,33476495,1187353069,0,149524414,柯士甸道 Austin Road,primary,True,16.509,5,,,,,,"LINESTRING (114.167957 22.303023, 114.168117 22.303032)"
14,7,8,33476495,33476497,0,1388990528;1388990529;1388990530;1388990531;102826316,廣東道 Canton Road,primary,True,161.852,4;3,,,,,,"LINESTRING (114.167957 22.303023, 114.167923 22.303218, 114.167813 22.30363, 114.167786 22.30379, 114.167748 22.303923, 114.167721 22.304022, 114.167696 22.304105, 114.167621 22.304364, 114.167599 22.304439)"
