node_id,osm_id,lon,lat,in_degree,out_degree,undir_deg,geometry
0,30747332,114.1723211,22.2947802,2,2,4,POINT (114.172321 22.29478)
1,30747334,114.1721995,22.296485,1,2,3,POINT (114.1722 22.296485)
2,33004487,114.1710946,22.310275,2,2,4,POINT (114.171095 22.310275)
3,33004488,114.1707203,22.3129647,2,2,4,POINT (114.17072 22.312965)
4,33004530,114.16936,22.2988324,1,2,3,POINT (114.16936 22.298832)
5,33004534,114.1679667,22.3014436,2,1,3,POINT (114.167967 22.301444)
6,33004677,114.1784272,22.2977677,2,2,4,POINT (114.178427 22.297768)
7,33476495,114.1679567,22.3030232,2,2,4,POINT (114.167957 22.303023)
8,33476497,114.1675993,22.3044393,1,2,3,POINT (114.167599 22.304439)
9,33476500,114.1668472,22.3058563,2,2,4,POINT (114.166847 22.305856)
10,33476501,114.1670616,22.3065045,2,1,3,POINT (114.167062 22.306504)
11,33476508,114.1753023,22.2954779,2,2,4,POINT (114.175302 22.295478)
12,33476510,114.1748954,22.2952697,1,2,3,POINT (114.174895 22.29527)
13,33476549,114.1713365,22.294724,1,2,3,POINT (114.171336 22.294724)
14,245088222,114.1781156,22.32696,1,3,4,POINT (114.178116 22.32696)
15,274243013,114.1587724,22.3274542,2,1,3,POINT (114.158772 22.327454)
16,274243016,114.1622524,22.3249209,1,2,3,POINT (114.162252 22.324921)
17,274243086,114.1673946,22.3117971,1,2,3,POINT (114.167395 22.311797)
18,274243087,114.1678659,22.3096922,2,1,3,POINT (114.167866 22.309692)
19,275816026,114.154246,22.3310169,2,2,4,POINT (114.154246 22.331017)
20,275909450,114.1587839,22.3275985,1,2,3,POINT (114.158784 22.327598)
21,275922253,114.1664541,22.3311815,2,1,3,POINT (114.166454 22.331182)
22,275924540,114.1749214,22.3299504,2,3,3,POINT (114.174921 22.32995)
23,275935761,114.1744266,22.3289764,2,3,3,POINT (114.174427 22.328976)
24,275935771,114.1720562,22.3273509,2,1,3,POINT (114.172056 22.327351)
25,275943901,114.164835,22.3280008,2,1,3,POINT (114.164835 22.328001)
26,275945418,114.1718679,22.3156488,1,2,2,POINT (114.171868 22.315649)
27,275945538,114.1720243,22.3179153,2,2,4,POINT (114.172024 22.317915)
28,275945763,114.1710549,22.3224019,1,2,3,POINT (114.171055 22.322402)
29,275948630,114.1908856,22.3176925,2,2,4,POINT (114.190886 22.317692)
30,275949265,114.1878267,22.322802,2,2,3,POINT (114.187827 22.322802)
31,276169638,114.1820916,22.2993992,2,1,3,POINT (114.182092 22.299399)
32,276169900,114.1810483,22.3144314,2,3,3,POINT (114.181048 22.314431)
33,276169958,114.178846,22.3269956,2,1,3,POINT (114.178846 22.326996)
34,276372740,114.1701439,22.3088662,1,2,3,POINT (114.170144 22.308866)
35,276372857,114.1689849,22.312658,2,2,4,POINT (114.168985 22.312658)
36,276373355,114.1701052,22.3128531,2,1,3,POINT (114.170105 22.312853)
37,276377951,114.1721924,22.3171476,0,1,1,POINT (114.172192 22.317148)
38,276378619,114.1869798,22.3154851,2,1,2,POINT (114.18698 22.315485)
39,278947783,114.1572093,22.3276159,2,2,3,POINT (114.157209 22.327616)
40,278948068,114.1670005,22.3122444,2,2,4,POINT (114.167 22.312244)
41,278949226,114.1616453,22.3075206,2,1,3,POINT (114.161645 22.307521)
42,278949231,114.1628465,22.3068109,1,2,3,POINT (114.162846 22.306811)
43,278950460,114.1594149,22.3032513,1,2,3,POINT (114.159415 22.303251)
44,278950461,114.1596727,22.3030064,1,2,3,POINT (114.159673 22.303006)
45,278951217,114.1606837,22.3076826,1,2,3,POINT (114.160684 22.307683)
46,278951219,114.1617719,22.3071931,1,2,3,POINT (114.161772 22.307193)
47,278951444,114.1604203,22.3051844,2,1,3,POINT (114.16042 22.305184)
48,278951704,114.1594502,22.3028812,2,1,3,POINT (114.15945 22.302881)
49,279077145,114.1530329,22.3262601,1,0,1,POINT (114.153033 22.32626)
50,288176867,114.1461329,22.2898986,0,1,1,POINT (114.146133 22.289899)
51,288991742,114.1627874,22.3181394,2,2,4,POINT (114.162787 22.318139)
52,288991776,114.1634229,22.3180822,2,1,3,POINT (114.163423 22.318082)
53,288991796,114.1660608,22.318712,2,2,4,POINT (114.166061 22.318712)
54,288991961,114.1630542,22.3188051,1,2,3,POINT (114.163054 22.318805)
55,288994875,114.1598754,22.3194714,1,2,3,POINT (114.159875 22.319471)
56,288994882,114.1593632,22.3232675,2,2,4,POINT (114.159363 22.323268)
57,288995089,114.1576938,22.3211585,2,1,3,POINT (114.157694 22.321158)
58,288995220,114.1574572,22.3214978,2,1,3,POINT (114.157457 22.321498)
59,288995381,114.1566572,22.317492,1,2,3,POINT (114.156657 22.317492)
60,288996506,114.1552665,22.3234337,2,2,3,POINT (114.155266 22.323434)
61,288996662,114.1559847,22.3260954,2,2,4,POINT (114.155985 22.326095)
62,288997665,114.1565829,22.3269464,3,3,4,POINT (114.156583 22.326946)
63,288998754,114.1569586,22.3290211,2,1,3,POINT (114.156959 22.329021)
64,288998755,114.1578452,22.3283292,2,2,4,POINT (114.157845 22.328329)
65,289293757,114.1535899,22.330233,0,1,1,POINT (114.15359 22.330233)
66,289294087,114.1523072,22.3325094,0,1,1,POINT (114.152307 22.332509)
67,289294146,114.1522158,22.3323988,1,0,1,POINT (114.152216 22.332399)
68,289329905,114.1554973,22.3324124,2,2,4,POINT (114.155497 22.332412)
69,289329943,114.1547755,22.3329575,1,0,1,POINT (114.154776 22.332958)
70,289337013,114.1537149,22.3264895,2,1,3,POINT (114.153715 22.32649)
71,289337297,114.1556568,22.3247578,2,1,3,POINT (114.155657 22.324758)
72,289337299,114.1567064,22.3235546,1,2,3,POINT (114.156706 22.323555)
73,289337490,114.1584933,22.3216284,1,2,3,POINT (114.158493 22.321628)
74,297910474,114.1462178,22.2897959,1,0,1,POINT (114.146218 22.289796)
75,308473171,114.1680169,22.3149736,2,2,4,POINT (114.168017 22.314974)
76,308473172,114.1685012,22.3150669,2,2,4,POINT (114.168501 22.315067)
77,308473173,114.1689561,22.315141,2,2,4,POINT (114.168956 22.315141)
78,308473175,114.1695449,22.3152511,2,2,4,POINT (114.169545 22.315251)
79,308473176,114.1683196,22.3135053,3,1,4,POINT (114.16832 22.313505)
80,308473177,114.1688045,22.313588,3,2,4,POINT (114.168804 22.313588)
81,308473178,114.1692614,22.3136721,2,1,3,POINT (114.169261 22.313672)
82,308473179,114.1698428,22.3137803,2,3,4,POINT (114.169843 22.31378)
83,308473180,114.1694498,22.3127358,2,2,4,POINT (114.16945 22.312736)
84,308473181,114.1675907,22.3171141,2,1,3,POINT (114.167591 22.317114)
85,308473182,114.1680551,22.3172,2,2,4,POINT (114.168055 22.3172)
86,308473183,114.1685003,22.3172869,2,2,4,POINT (114.1685 22.317287)
87,308473185,114.1690783,22.3173955,2,2,4,POINT (114.169078 22.317396)
88,308473186,114.170358,22.3176083,1,3,4,POINT (114.170358 22.317608)
89,308473189,114.1672039,22.318917,2,1,2,POINT (114.167204 22.318917)
90,308473190,114.1676802,22.3190063,2,2,4,POINT (114.16768 22.319006)
91,308473191,114.1681318,22.3190943,2,2,4,POINT (114.168132 22.319094)
92,308473192,114.1686727,22.3191848,2,1,3,POINT (114.168673 22.319185)
93,308473419,114.1702382,22.3153655,2,1,3,POINT (114.170238 22.315366)
94,308473420,114.1705303,22.3139011,1,2,3,POINT (114.17053 22.313901)
95,308473422,114.1697992,22.3175012,1,2,3,POINT (114.169799 22.317501)
96,308473424,114.1694289,22.3193121,2,2,4,POINT (114.169429 22.319312)
97,308473426,114.1701722,22.3184397,2,1,3,POINT (114.170172 22.31844)
98,308473427,114.1707291,22.3185465,0,1,1,POINT (114.170729 22.318546)
99,308473546,114.1705175,22.3223275,1,3,4,POINT (114.170518 22.322328)
100,308473861,114.1914484,22.328839,2,2,3,POINT (114.191448 22.328839)
101,308473862,114.1925262,22.3312909,3,4,4,POINT (114.192526 22.331291)
102,308475224,114.1614536,22.3322118,2,1,3,POINT (114.161454 22.332212)
