component,strategy,target_fraction,fraction,n_removed,runs,reachable_share,reachable_share_std,reachable_share_p025,reachable_share_p975,reach_loss,reach_loss_std,reach_loss_p025,reach_loss_p975,mean_m,mean_m_std,mean_m_p025,mean_m_p975,median_m,median_m_std,median_m_p025,median_m_p975,p90_m,p90_m_std,p90_m_p025,p90_m_p975,p95_m,p95_m_std,p95_m_p025,p95_m_p975
link,lscc,0.0,0.0,0,1,0.8713531536537927,0.0,0.8713531536537927,0.8713531536537927,0.0,0.0,0.0,0.0,1678.3658804209185,0.0,1678.3658804209185,1678.3658804209185,1813.3350000000003,0.0,1813.3350000000003,1813.3350000000003,2515.206,0.0,2515.206,2515.206,3245.7529999999997,0.0,3245.7529999999997,3245.7529999999997
link,lscc,0.02,0.020007020007020006,57,1,0.7263128646846346,0.0,0.7263128646846346,0.7263128646846346,0.1450402889691581,0.0,0.1450402889691581,0.1450402889691581,1659.657986993114,0.0,1659.657986993114,1659.657986993114,1791.323,0.0,1791.323,1791.323,3211.169700000004,0.0,3211.169700000004,3211.169700000004,3365.0950000000003,0.0,3365.0950000000003,3365.0950000000003
link,lscc,0.04,0.04001404001404001,114,1,0.6710197277021395,0.0,0.6710197277021395,0.6710197277021395,0.20033342595165327,0.0,0.20033342595165327,0.20033342595165327,1833.1786285714286,0.0,1833.1786285714286,1833.1786285714286,1938.0099999999998,0.0,1938.0099999999998,1938.0099999999998,3724.2509999999993,0.0,3724.2509999999993,3724.2509999999993,3888.361,0.0,3888.361,3888.361
link,lscc,0.06,0.06002106002106002,171,1,0.576549041400389,0.0,0.576549041400389,0.576549041400389,0.29480411225340375,0.0,0.29480411225340375,0.29480411225340375,1932.537620722892,0.0,1932.537620722892,1932.537620722892,1927.1899999999998,0.0,1927.1899999999998,1927.1899999999998,3413.959,0.0,3413.959,3413.959,4693.179,0.0,4693.179,4693.179
link,lscc,0.08,0.08002808002808003,228,1,0.5118088357877189,0.0,0.5118088357877189,0.5118088357877189,0.3595443178660739,0.0,0.3595443178660739,0.3595443178660739,2260.802850162867,0.0,2260.802850162867,2260.802850162867,2292.6305000000007,0.0,2292.6305000000007,2292.6305000000007,4514.951000000001,0.0,4514.951000000001,4514.951000000001,4653.567199999993,0.0,4653.567199999993,4653.567199999993
link,lscc,0.1,0.10003510003510004,285,1,0.4576271186440678,0.0,0.4576271186440678,0.4576271186440678,0.41372603500972494,0.0,0.41372603500972494,0.41372603500972494,2859.323653916212,0.0,2859.323653916212,2859.323653916212,3107.3860000000004,0.0,3107.3860000000004,3107.3860000000004,7006.291600000004,0.0,7006.291600000004,7006.291600000004,7492.585000000002,0.0,7492.585000000002,7492.585000000002
link,lscc,0.12,0.12004212004212005,342,1,0.3231453181439289,0.0,0.3231453181439289,0.3231453181439289,0.5482078355098639,0.0,0.5482078355098639,0.5482078355098639,1770.26290455718,0.0,1770.26290455718,1770.26290455718,1111.605,0.0,1111.605,1111.605,4096.747600000001,0.0,4096.747600000001,4096.747600000001,4658.826000000002,0.0,4658.826000000002,4658.826000000002
link,lscc,0.14,0.14004914004914004,399,1,0.2511808835787719,0.0,0.2511808835787719,0.2511808835787719,0.6201722700750208,0.0,0.6201722700750208,0.6201722700750208,1225.3824977876106,0.0,1225.3824977876106,1225.3824977876106,212.38600000000002,0.0,212.38600000000002,212.38600000000002,3735.810000000001,0.0,3735.810000000001,3735.810000000001,5118.303,0.0,5118.303,5118.303
link,lscc,0.16,0.16005616005616005,456,1,0.24756876910252848,0.0,0.24756876910252848,0.24756876910252848,0.6237843845512643,0.0,0.6237843845512643,0.6237843845512643,1228.9770460157126,0.0,1228.9770460157126,1228.9770460157126,13.51,0.0,13.51,13.51,3735.810000000001,0.0,3735.810000000001,3735.810000000001,5118.303,0.0,5118.303,5118.303
link,lscc,0.18,0.18006318006318006,513,1,0.21311475409836064,0.0,0.21311475409836064,0.21311475409836064,0.6582383995554321,0.0,0.6582383995554321,0.6582383995554321,1011.7138983050849,0.0,1011.7138983050849,1011.7138983050849,0.0,0.0,0.0,0.0,2611.4463999999994,0.0,2611.4463999999994,2611.4463999999994,6596.313099999856,0.0,6596.313099999856,6596.313099999856
