component,strategy,run,target_fraction,fraction,n_removed,reachable_share,reach_loss,mean_m,median_m,p90_m,p95_m
link,lscc,0,0.0,0.0,0,0.8713531536537927,0.0,1678.3658804209185,1813.3350000000003,2515.206,3245.7529999999997
link,lscc,0,0.02,0.020007020007020006,57,0.7263128646846346,0.1450402889691581,1659.657986993114,1791.323,3211.169700000004,3365.0950000000003
link,lscc,0,0.04,0.04001404001404001,114,0.6710197277021395,0.20033342595165327,1833.1786285714286,1938.0099999999998,3724.2509999999993,3888.361
link,lscc,0,0.06,0.06002106002106002,171,0.576549041400389,0.29480411225340375,1932.537620722892,1927.1899999999998,3413.959,4693.179
link,lscc,0,0.08,0.08002808002808003,228,0.5118088357877189,0.3595443178660739,2260.802850162867,2292.6305000000007,4514.951000000001,4653.567199999993
link,lscc,0,0.1,0.10003510003510004,285,0.4576271186440678,0.41372603500972494,2859.323653916212,3107.3860000000004,7006.291600000004,7492.585000000002
link,lscc,0,0.12,0.12004212004212005,342,0.3231453181439289,0.5482078355098639,1770.26290455718,1111.605,4096.747600000001,4658.826000000002
link,lscc,0,0.14,0.14004914004914004,399,0.2511808835787719,0.6201722700750208,1225.3824977876106,212.38600000000002,3735.810000000001,5118.303
link,lscc,0,0.16,0.16005616005616005,456,0.24756876910252848,0.6237843845512643,1228.9770460157126,13.51,3735.810000000001,5118.303
link,lscc,0,0.18,0.18006318006318006,513,0.21311475409836064,0.6582383995554321,1011.7138983050849,0.0,2611.4463999999994,6596.313099999856
link,lscc,0,0.2,0.20007020007020007,570,0.20116699083078632,0.6701861628230064,942.3500165745857,0.0,2336.498,7229.746
link,lscc,0,0.22,0.22007722007722008,627,0.20116699083078632,0.6701861628230064,942.3500165745857,0.0,2336.498,7229.746
link,lscc,0,0.24,0.2400842400842401,684,0.20116699083078632,0.6701861628230064,942.3500165745857,0.0,2336.498,7229.746
link,lscc,0,0.26,0.2600912600912601,741,0.1928313420394554,0.6785218116143373,919.2881455331412,0.0,2336.498,7229.746
link,lscc,0,0.28,0.2800982800982801,798,0.1900527924423451,0.6813003612114477,921.2335131578948,0.0,2336.498,7229.746
link,lscc,0,0.3,0.3001053001053001,855,0.1900527924423451,0.6813003612114477,921.2335131578948,0.0,2336.498,7229.746
link,lscc,0,0.32,0.3201123201123201,912,0.1881078077243679,0.6832453459294249,910.2389320531757,0.0,2336.498,7229.746
link,lscc,0,0.34,0.34011934011934014,969,0.18699638788552375,0.684356765768269,907.6448023774146,0.0,2336.498,7229.746
link,lscc,0,0.36,0.3601263601263601,1026,0.16810225062517367,0.703250903028619,874.9530214876032,0.0,2666.575000000002,7229.746
