Rank,Component ID,OSM Node ID,Hospital Accessibility Loss (%),Mean Hospital Distance Change (m),P90 Hospital Distance Change (m),BC,GNE Loss (%),LSCC Loss (%),TTD Loss (%)
1,170,334647880,6.6407,-90.0058,-49.079,0.011,0.4946,0.0,3.3945
2,394,587637080,4.8347,98.5941,71.1273,0.0153,0.5065,0.0,4.7208
3,223,384377581,4.8347,-34.4585,71.1273,0.0457,7.031,0.3886,8.7664
4,1504,6705233168,4.7235,-33.8469,70.7205,0.0426,6.8792,0.1943,11.4036
5,1463,6126362968,4.7235,-33.9243,70.7205,0.0364,6.6916,0.0648,11.2
6,74,297910474,4.5846,78.4334,70.212,0.0093,0.2965,0.0,2.8708
7,59,288995381,3.2787,-24.4768,68.483,0.0281,1.4044,0.1943,6.7665
8,543,990625879,2.4173,8.7252,75.936,0.0287,3.2322,0.2591,5.4531
9,1114,1649048792,2.3896,-10.219,50.5082,0.0305,8.5501,0.1295,9.3799
10,312,493883960,1.945,-14.9151,45.967,0.0106,0.7248,0.1295,2.5256
