link_id,from_node,to_node,u_osm,v_osm,edge_key,osm_way,name,highway,oneway,length_m,lanes,maxspeed,ref,access,bridge,tunnel,geometry,odbc,od_eff_loss,lscc_loss,td_loss,reachable_demand_share,odbc_rank,odbc_pct,od_eff_rank,od_eff_pct,lscc_rank,lscc_pct,td_rank,td_pct
0,0,836,30747332,1187353031,0,111783432,梳士巴利道 Salisbury Road,primary,True,10.981,2,50,,,,,"LINESTRING (114.172321 22.29478, 114.172428 22.294787)",0.00817280400011611,0.000514979177393264,0.0,0.0008426938572220077,1.0,1124,0.6058266058266059,1165,0.5914355914355914,1122,0.3034398034398034,1217,0.5731835731835732
1,0,1096,30747332,1649047771,0,102821031,彌敦道 Nathan Road,secondary,True,91.456,2,,,,,,"LINESTRING (114.172321 22.29478, 114.17231 22.294936, 114.172307 22.294981, 114.172304 22.295025, 114.172271 22.295508, 114.172268 22.295547, 114.172264 22.295601)",0.010230226132076671,0.0008320460379504787,0.0012953367875647315,0.004856518976763571,0.9986829851107835,990,0.6528606528606529,881,0.6911196911196911,360,0.836960336960337,441,0.8455598455598455
2,1,1098,30747334,1649047802,0,100220087,北京道 Peking Road,residential,True,59.013,2,,,,,,"LINESTRING (114.1722 22.296485, 114.172131 22.296478, 114.171629 22.296428)",0.0005697978144997212,2.555031390186592e-05,0.0,0.00010580738798737138,1.0,2208,0.22534222534222534,2156,0.2435942435942436,1122,0.3034398034398034,1984,0.303966303966304
3,1,1106,30747334,1649048114,0,757833657,彌敦道 Nathan Road,secondary,True,186.902,2,,,,,,"LINESTRING (114.1722 22.296485, 114.172191 22.296613, 114.172126 22.297587, 114.172124 22.297614, 114.172122 22.297641, 114.172111 22.297802, 114.172101 22.297945, 114.172097 22.29801, 114.172087 22.298163)",0.00736256306191538,0.0002982001920235633,0.0,0.0007040903637762002,1.0,1200,0.5791505791505791,1453,0.49034749034749037,1122,0.3034398034398034,1313,0.5394875394875395
4,2,737,33004487,1172757801,0,102506130,彌敦道 Nathan Road,primary,True,72.396,3,,,,,,"LINESTRING (114.171095 22.310275, 114.171054 22.310708, 114.171048 22.310748, 114.171046 22.310762, 114.171038 22.310815, 114.171017 22.310922)",0.04322477376697936,0.0007918471733016237,0.0,0.001317303294339459,1.0,62,0.9785889785889786,909,0.6812916812916813,1122,0.3034398034398034,972,0.6591786591786591
5,2,1012,33004487,1636768902,0,102506142,眾坊街 Public Square Street,tertiary,True,43.11,2,,,,,,"LINESTRING (114.171095 22.310275, 114.171077 22.310274, 114.170958 22.310268, 114.170918 22.310258, 114.170681 22.31022)",0.0011643196336987385,1.1266451933677823e-05,0.0012953367875647315,1.5866657969253958e-05,0.9999994754944151,2060,0.2772902772902773,2288,0.19726219726219726,360,0.836960336960337,2319,0.1863811863811864
6,3,593,33004488,1151084822,0,250489279,窩打老道 Waterloo Road,primary,True,10.692,2,,,,,,"LINESTRING (114.17072 22.312965, 114.170618 22.312947)",0.034676120159655335,0.0012558016177127791,0.0,0.0015883360516515481,1.0,143,0.9501579501579501,657,0.7697437697437698,1122,0.3034398034398034,886,0.6893646893646893
7,3,815,33004488,1185400607,0,102640426,彌敦道 Nathan Road,primary,True,44.692,3,,,,,,"LINESTRING (114.17072 22.312965, 114.170738 22.312878, 114.170801 22.31257)",0.051156960128021095,0.003257636035841897,0.004533678756476684,0.00985041347942368,0.9990306870713516,31,0.9894699894699894,256,0.9104949104949105,45,0.9794664794664795,246,0.914004914004914
8,4,5,33004530,33004534,0,1097999011;37663945;102821037;85485977;85485980,廣東道 Canton Road;九龍公園徑 Kowloon Park Drive,primary,True,329.945,2,,,,yes,,"LINESTRING (114.16936 22.298832, 114.169229 22.299224, 114.169204 22.299284, 114.169178 22.299335, 114.169139 22.299405, 114.169047 22.299534, 114.168839 22.299782, 114.168518 22.300116, 114.168409 22.300246, 114.168326 22.300355, 114.168275 22.300441, 114.168234 22.30053, 114.168197 22.300623, 114.168159 22.300734, 114.168124 22.300864, 114.168092 22.301018, 114.168053 22.301238, 114.167967 22.301444)",0.02277527299804417,5.989005208795796e-06,0.0,1.5480236990074454e-05,1.0,386,0.8648648648648649,2362,0.17128817128817128,1122,0.3034398034398034,2322,0.18532818532818532
9,4,471,33004530,988059453,0,245457434;1097999005,九龍公園徑 Kowloon Park Drive,secondary,True,122.614,2,,,,,,"LINESTRING (114.16936 22.298832, 114.169163 22.299201, 114.168989 22.299474, 114.168778 22.299714, 114.168733 22.299764)",0.00392454149305093,0.004081990528160963,0.0006476683937823658,0.0009525103703900488,1.0,1604,0.4371709371709372,188,0.9343629343629344,572,0.7032292032292032,1152,0.595998595998596
10,5,1305,33004534,4844962258,0,1215181721;1215181723;102821071,廣東道 Canton Road,primary,True,166.873,4;5,,,,,,"LINESTRING (114.167967 22.301444, 114.167925 22.301734, 114.1679 22.301988, 114.167917 22.302251, 114.167954 22.302553, 114.167963 22.30268, 114.167969 22.302828, 114.167967 22.302938)",0.025694282606511347,0.0015487651132375336,0.0019430051813470973,0.005084103919670055,0.9996825097687978,298,0.8957528957528957,558,0.8044928044928045,217,0.8992628992628993,422,0.8522288522288523
11,6,1346,33004677,4862605959,0,778014089,梳士巴利道 Salisbury Road,primary,True,10.48,4,50,,,,,"LINESTRING (114.178427 22.297768, 114.178506 22.297827)",0.010430688133976284,0.00025645767446816776,0.0,0.0004585760078825941,1.0,979,0.6565461565461566,1521,0.4663039663039663,1122,0.3034398034398034,1534,0.46174096174096174
12,6,213,33004677,384143869,0,37664230,麼地里 Mody Lane,tertiary,True,83.70900000000002,2,,,,,,"LINESTRING (114.178427 22.297768, 114.178364 22.297843, 114.178034 22.29822, 114.178008 22.298249, 114.177905 22.298344)",0.00025276131619103337,2.2279752684668673e-05,0.0,2.446156554830055e-05,1.0,2333,0.1812916812916813,2180,0.234994734994735,1122,0.3034398034398034,2259,0.20726570726570726
13,7,837,33476495,1187353069,0,149524414,柯士甸道 Austin Road,primary,True,16.509,5,,,,,,"LINESTRING (114.167957 22.303023, 114.168117 22.303032)",0.005669108615230079,0.0006487830956362585,0.0,0.0008263915236515273,1.0,1371,0.5191295191295191,1032,0.6381186381186381,1122,0.3034398034398034,1229,0.568971568971569
14,7,8,33476495,33476497,0,1388990528;1388990529;1388990530;1388990531;102826316,廣東道 Canton Road,primary,True,161.852,4;3,,,,,,"LINESTRING (114.167957 22.303023, 114.167923 22.303218, 114.167813 22.30363, 114.167786 22.30379, 114.167748 22.303923, 114.167721 22.304022, 114.167696 22.304105, 114.167621 22.304364, 114.167599 22.304439)",0.023357811371746116,0.0008008058287565841,0.0006476683937823658,0.002092322265354523,1.0,370,0.8703053703053703,904,0.683046683046683,572,0.7032292032292032,765,0.7318357318357318
15,8,280,33476497,420041599,0,1388990532;1388990533,廣東道 Canton Road,primary,True,42.718,3,,,,,,"LINESTRING (114.167599 22.304439, 114.167582 22.304498, 114.167554 22.304591, 114.167508 22.304699, 114.167449 22.304795)",0.023357811371746116,0.00017404646102383054,0.0,0.0004951125903610912,1.0,370,0.8703053703053703,1692,0.4064584064584065,1122,0.3034398034398034,1499,0.4742014742014742
16,8,279,33476497,420041549,0,1388990521;1388990534;102821039,匯翔道 Wui Cheung Road,primary_link,True,49.914,1,,,,,,"LINESTRING (114.167599 22.304439, 114.167544 22.304488, 114.167455 22.304556, 114.167431 22.304575, 114.167382 22.304609, 114.16731 22.304625, 114.167223 22.304647, 114.167188 22.304656)",0.0,0.0,0.0,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,1122,0.3034398034398034,2520,0.05809055809055809
17,9,807,33476500,1185400508,0,102674713,廣東道 Canton Road,primary,True,15.432,3,,,,,,"LINESTRING (114.166847 22.305856, 114.166853 22.305927, 114.166869 22.305993)",0.017417966898081543,0.0003705705133278981,0.0,0.0007736244656500108,1.0,590,0.7932607932607932,1354,0.525096525096525,1122,0.3034398034398034,1259,0.5584415584415584
18,9,1233,33476500,2754770542,0,1206288157;102674741,佐敦道 Jordan Road,primary,True,110.691,5;3,,,,,,"LINESTRING (114.166847 22.305856, 114.166247 22.305997, 114.166051 22.306043, 114.165804 22.306099)",0.035998846592724176,0.000518471205951592,0.0006476683937823658,0.001121736212491511,0.999935576395087,112,0.961038961038961,1160,0.5931905931905932,572,0.7032292032292032,1057,0.6293436293436293
19,10,931,33476501,1624950018,0,102674700,渡船街 Ferry Street,primary,True,56.929,3,,,,,,"LINESTRING (114.167062 22.306504, 114.167102 22.306656, 114.167195 22.307001)",0.014096869543595117,0.0033196490161971895,0.0032383419689119533,0.01831963385301727,0.9941391983651008,756,0.7348192348192348,246,0.9138294138294139,93,0.9589329589329589,116,0.9594594594594594
20,11,292,33476508,441549980,0,103020557,漆咸道南 Chatham Road South,secondary,True,31.746,2,50,,,,,"LINESTRING (114.175302 22.295478, 114.175332 22.295194)",0.005255610498630788,0.00014657992720058834,0.0,0.00027043498376648224,1.0,1435,0.49666549666549664,1754,0.3846963846963847,1122,0.3034398034398034,1714,0.3987363987363987
21,11,645,33476508,1158360142,0,1120037593;33613791,梳士巴利道 Salisbury Road,secondary,True,36.074,2,50,,,,,"LINESTRING (114.175302 22.295478, 114.175381 22.295543, 114.175464 22.295602, 114.175529 22.295641, 114.175584 22.295669)",0.004506681545144583,1.8911961495325865e-05,0.0,2.760525271493529e-05,1.0,1541,0.45928395928395926,2208,0.22516672516672517,1122,0.3034398034398034,2232,0.21674271674271675
22,12,647,33476510,1158360153,0,1120037568;1120037588;100220095,,secondary_link,True,56.17,1,50,,,,,"LINESTRING (114.174895 22.29527, 114.174993 22.295359, 114.175065 22.295434, 114.175113 22.295493, 114.175165 22.295566, 114.175228 22.295667)",0.002556066428943234,2.07235925052886e-06,0.0,7.584658607391098e-06,1.0,1816,0.36293436293436293,2444,0.14250614250614252,1122,0.3034398034398034,2399,0.1583011583011583
23,12,435,33476510,759630064,0,1120037569;441937731,梳士巴利道 Salisbury Road,secondary,True,35.306,2,50,,,,,"LINESTRING (114.174895 22.29527, 114.174989 22.295299, 114.175119 22.295358, 114.175204 22.295406)",0.004780486381647847,6.8680627070604365e-06,0.0,2.9499742189728665e-05,1.0,1510,0.47034047034047033,2337,0.18006318006318006,1122,0.3034398034398034,2219,0.22148122148122149
24,13,1095,33476549,1649047767,0,442616752;116287420,漢口道 Hankow Road,residential,True,90.228,2,,,,,,"LINESTRING (114.171336 22.294724, 114.171327 22.2948, 114.171288 22.295347, 114.171261 22.295532)",0.0008332629908012082,4.375381775419901e-06,0.0,1.5983918338147798e-05,1.0,2120,0.25623025623025625,2396,0.15935415935415936,1122,0.3034398034398034,2318,0.18673218673218672
25,13,0,33476549,30747332,0,709674358;709674359;246481118;1119856151,梳士巴利道 Salisbury Road,primary,True,101.508,4;5,50,,,,,"LINESTRING (114.171336 22.294724, 114.171487 22.294736, 114.171642 22.29474, 114.171716 22.294743, 114.171916 22.294758, 114.172036 22.294765, 114.17208 22.294766, 114.172321 22.29478)",0.013384360771137027,0.0009200285850971286,0.0,0.002145483625258432,1.0,790,0.7230607230607231,819,0.7128817128817129,1122,0.3034398034398034,753,0.7360477360477361
26,14,588,245088222,1141935440,0,493988955;98702159,窩打老道 Waterloo Road,primary,True,44.953,1;2,50,,,,,"LINESTRING (114.178116 22.32696, 114.178248 22.327011, 114.178291 22.32704, 114.178324 22.32708, 114.178348 22.32713, 114.17836 22.327179, 114.17837 22.327246)",0.0022056749689521246,0.00028244051411904596,0.0,0.0005228081512390942,1.0,1882,0.33976833976833976,1479,0.48122148122148123,1122,0.3034398034398034,1470,0.48438048438048437
27,14,987,245088222,1636543866,0,493988956,界限街 Boundary Street,primary,True,56.287000000000006,3,,,,,,"LINESTRING (114.178116 22.32696, 114.178473 22.32698, 114.178504 22.326981, 114.178662 22.326988)",0.01710748787153854,0.001514846387697654,0.0,0.0039272264611983155,1.0,603,0.7886977886977887,568,0.800982800982801,1122,0.3034398034398034,501,0.8244998244998245
28,14,575,245088222,1140062928,0,604431993;99701939,,trunk_link,True,219.68300000000005,1,50,,,yes,,"LINESTRING (114.178116 22.32696, 114.178178 22.326938, 114.178216 22.32692, 114.178271 22.326893, 114.17832 22.326866, 114.178356 22.32683, 114.178388 22.326804, 114.178401 22.326772, 114.178422 22.326714, 114.178434 22.326638, 114.178394 22.32602, 114.178396 22.32591, 114.178404 22.325796, 114.178417 22.325613, 114.178423 22.32551, 114.178424 22.325389, 114.178419 22.325136)",0.015053283250695609,0.00038805998087637617,0.0,0.000958050812103292,1.0,710,0.7511407511407512,1330,0.5335205335205335,1122,0.3034398034398034,1150,0.5967005967005967
29,15,16,274243013,274243016,0,1133373520;909703708;30151798,西九龍走廊 West Kowloon Corridor,trunk,True,455.859,3,70,5,,viaduct,,"LINESTRING (114.158772 22.327454, 114.160122 22.326441, 114.161483 22.325413, 114.161582 22.325339, 114.16168 22.325268, 114.161783 22.325197, 114.161882 22.325132, 114.16201 22.325057, 114.162132 22.324988, 114.162252 22.324921)",0.024255299999830407,0.008735919098146685,0.002590673575129463,0.0627280017752287,0.9796585477796347,336,0.8824148824148824,53,0.9817479817479817,144,0.9371709371709371,4,0.9989469989469989
