connector_od_id,zone_od_id,origin_tpusb,destination_tpusb,origin_node,destination_node,pair_weight,demand
0,0,113003,228025,74,795,0.3333333333333333,30.2619
1,0,113003,228025,1608,795,0.3333333333333333,30.2619
2,0,113003,228025,170,795,0.3333333333333333,30.2619
3,1,113003,243045,74,372,0.11111111111111108,5.228055555555555
4,1,113003,243045,74,360,0.11111111111111108,5.228055555555555
5,1,113003,243045,74,375,0.11111111111111108,5.228055555555555
6,1,113003,243045,1608,372,0.11111111111111108,5.228055555555555
7,1,113003,243045,1608,360,0.11111111111111108,5.228055555555555
8,1,113003,243045,1608,375,0.11111111111111108,5.228055555555555
9,1,113003,243045,170,372,0.11111111111111108,5.228055555555555
10,1,113003,243045,170,360,0.11111111111111108,5.228055555555555
11,1,113003,243045,170,375,0.11111111111111108,5.228055555555555
12,2,113005,153022,74,1114,0.11111111111111108,51.12604444444443
13,2,113005,153022,74,395,0.11111111111111108,51.12604444444443
14,2,113005,153022,74,1463,0.11111111111111108,51.12604444444443
15,2,113005,153022,1608,1114,0.11111111111111108,51.12604444444443
16,2,113005,153022,1608,395,0.11111111111111108,51.12604444444443
17,2,113005,153022,1608,1463,0.11111111111111108,51.12604444444443
18,2,113005,153022,170,1114,0.11111111111111108,51.12604444444443
19,2,113005,153022,170,395,0.11111111111111108,51.12604444444443
20,2,113005,153022,170,1463,0.11111111111111108,51.12604444444443
21,3,113005,211018,74,835,0.11111111111111108,208.47729264319622
22,3,113005,211018,74,1386,0.11111111111111108,208.47729264319622
23,3,113005,211018,74,1106,0.11111111111111108,208.47729264319622
24,3,113005,211018,1608,835,0.11111111111111108,208.47729264319622
25,3,113005,211018,1608,1386,0.11111111111111108,208.47729264319622
26,3,113005,211018,1608,1106,0.11111111111111108,208.47729264319622
27,3,113005,211018,170,835,0.11111111111111108,208.47729264319622
28,3,113005,211018,170,1386,0.11111111111111108,208.47729264319622
29,3,113005,211018,170,1106,0.11111111111111108,208.47729264319622
30,4,113005,266018,74,402,0.11111111111111108,12.041233333333329
31,4,113005,266018,74,269,0.11111111111111108,12.041233333333329
32,4,113005,266018,74,268,0.11111111111111108,12.041233333333329
33,4,113005,266018,1608,402,0.11111111111111108,12.041233333333329
34,4,113005,266018,1608,269,0.11111111111111108,12.041233333333329
35,4,113005,266018,1608,268,0.11111111111111108,12.041233333333329
36,4,113005,266018,170,402,0.11111111111111108,12.041233333333329
37,4,113005,266018,170,269,0.11111111111111108,12.041233333333329
38,4,113005,266018,170,268,0.11111111111111108,12.041233333333329
39,5,113007,227019,74,93,0.3333333333333333,1.0
