zone_od_id,origin_tpusb,destination_tpusb,main_mode,sample_flow,expanded_hk_flow,road_factor,road_proxy_flow,kish_neff,origin_26PDD,origin_26PDD_name,destination_26PDD,destination_26PDD_name
0,113003,228025,6,1,90.7857,1.0,90.7857,1.0,1,Central & Western,5,Yau Ma Tei
1,113003,243045,6,1,47.0525,1.0,47.0525,1.0,1,Central & Western,8,Kowloon City
2,113005,153022,6,2,460.1344,1.0,460.1344,1.988745959727,1,Central & Western,3,Eastern
3,113005,211018,4|6,3,1911.3773,0.9816458706445695,1876.2956337887667,2.31817034458,1,Central & Western,5,Yau Ma Tei
4,113005,266018,6,1,108.3711,1.0,108.3711,1.0,1,Central & Western,7,Sham Shui Po
5,113007,227019,6,3,3.0,1.0,3.0,3.0,1,Central & Western,6,Mong Kok
6,113008,236020,6,2,640.4943,1.0,640.4943,1.989768121707,1,Central & Western,8,Kowloon City
7,113008,255008,6,1,65.7501,1.0,65.7501,1.0,1,Central & Western,7,Sham Shui Po
8,113009,229044,6,1,2314.6282,1.0,2314.6282,1.0,1,Central & Western,6,Mong Kok
9,113012,236010,6,1,113.8745,1.0,113.8745,1.0,1,Central & Western,8,Kowloon City
10,113013,236020,7,1,29.4878,1.0,29.4878,1.0,1,Central & Western,8,Kowloon City
11,113013,263005,6,1,85.4365,1.0,85.4365,1.0,1,Central & Western,7,Sham Shui Po
12,113013,263016,6,1,140.3806,1.0,140.3806,1.0,1,Central & Western,7,Sham Shui Po
13,113013,282010,6,1,88.2837,1.0,88.2837,1.0,1,Central & Western,10,Wong Tai Sin
14,113015,243049,6,1,97.7968,1.0,97.7968,1.0,1,Central & Western,8,Kowloon City
15,113018,141013,7,1,289.4272,1.0,289.4272,1.0,1,Central & Western,1,Central & Western
16,113019,241002,6,1,82.5124,1.0,82.5124,1.0,1,Central & Western,8,Kowloon City
17,114004,123002,6,1,327.1251,1.0,327.1251,1.0,1,Central & Western,1,Central & Western
18,114005,153029,7,1,70.6011,1.0,70.6011,1.0,1,Central & Western,3,Eastern
19,114007,151019,6,1,148.865,1.0,148.865,1.0,1,Central & Western,3,Eastern
20,114007,152005,7,2,130.093,1.0,130.093,1.999886465754,1,Central & Western,3,Eastern
21,114009,151021,6,2,276.4987,1.0,276.4987,1.987663609883,1,Central & Western,3,Eastern
22,114009,283025,6,1,88.8855,1.0,88.8855,1.0,1,Central & Western,10,Wong Tai Sin
23,114009,285003,6,1,90.592,1.0,90.592,1.0,1,Central & Western,8,Kowloon City
24,114019,245017,7,1,44.0017,1.0,44.0017,1.0,1,Central & Western,8,Kowloon City
25,114021,235012,6,1,397.3419,1.0,397.3419,1.0,1,Central & Western,8,Kowloon City
26,114034,152004,7,1,119.3663,1.0,119.3663,1.0,1,Central & Western,3,Eastern
27,114034,222010,6,1,300.3943,1.0,300.3943,1.0,1,Central & Western,6,Mong Kok
28,114034,254011,7,1,69.1937,1.0,69.1937,1.0,1,Central & Western,7,Sham Shui Po
29,114034,263005,7,1,97.5123,1.0,97.5123,1.0,1,Central & Western,7,Sham Shui Po
30,115007,266024,6,1,86.2626,1.0,86.2626,1.0,1,Central & Western,7,Sham Shui Po
31,121002,285010,6,1,246.6875,1.0,246.6875,1.0,1,Central & Western,8,Kowloon City
32,121003,253002,6,1,392.7028,1.0,392.7028,1.0,1,Central & Western,5,Yau Ma Tei
33,121005,121020,7,1,515.0029,1.0,515.0029,1.0,1,Central & Western,1,Central & Western
34,121005,152005,6|7,4,213.6561,1.0,213.6561,2.649111672526,1,Central & Western,3,Eastern
35,121005,152008,1|7,3,160.3568,0.30368889691510276,48.69857970483575,2.597168552067,1,Central & Western,3,Eastern
36,121005,229012,6,1,150.2521,1.0,150.2521,1.0,1,Central & Western,6,Mong Kok
37,121005,285021,6,1,324.7733,1.0,324.7733,1.0,1,Central & Western,8,Kowloon City
38,121005,286039,6,1,81.9104,1.0,81.9104,1.0,1,Central & Western,8,Kowloon City
39,121017,225049,6,1,117.6076,1.0,117.6076,1.0,1,Central & Western,5,Yau Ma Tei
40,121017,241022,6,2,429.7206,1.0,429.7206,1.982811518728,1,Central & Western,8,Kowloon City
41,121017,283026,6,1,82.4994,1.0,82.4994,1.0,1,Central & Western,10,Wong Tai Sin
42,121019,222027,8,1,57.7646,1.0,57.7646,1.0,1,Central & Western,6,Mong Kok
43,121020,151019,8,1,116.5908,1.0,116.5908,1.0,1,Central & Western,3,Eastern
44,121020,153056,7,1,64.5564,1.0,64.5564,1.0,1,Central & Western,3,Eastern
45,121020,237001,6,1,260.9289,1.0,260.9289,1.0,1,Central & Western,8,Kowloon City
46,121021,151039,7,1,118.3611,1.0,118.3611,1.0,1,Central & Western,3,Eastern
47,123001,264020,6,1,231.5683,1.0,231.5683,1.0,1,Central & Western,7,Sham Shui Po
48,123002,152004,8,1,116.5908,1.0,116.5908,1.0,1,Central & Western,3,Eastern
49,123002,152005,6,1,127.5076,1.0,127.5076,1.0,1,Central & Western,3,Eastern
50,134006,222001,6,1,1.0,1.0,1.0,1.0,2,Wan Chai,6,Mong Kok
