component,strategy,run,seed,order,component_id,score,score_metric
node,odbc,0,20260905,1,155,0.1085253634653243,odbc
node,odbc,0,20260905,2,1613,0.0976265539368509,odbc
node,odbc,0,20260905,3,96,0.0952657317491805,odbc
node,odbc,0,20260905,4,449,0.093136295315818,odbc
node,odbc,0,20260905,5,1526,0.0921825071997746,odbc
node,odbc,0,20260905,6,674,0.0898419391453094,odbc
node,odbc,0,20260905,7,691,0.0886659677182498,odbc
node,odbc,0,20260905,8,602,0.0881878841589769,odbc
node,odbc,0,20260905,9,1588,0.0869574427020526,odbc
node,odbc,0,20260905,10,3,0.0860100120157494,odbc
node,odbc,0,20260905,11,448,0.0850350415103757,odbc
node,odbc,0,20260905,12,1379,0.0845676851750842,odbc
node,odbc,0,20260905,13,1587,0.0836416772824222,odbc
node,odbc,0,20260905,14,453,0.0829633744631405,odbc
node,odbc,0,20260905,15,452,0.0827090367107242,odbc
node,odbc,0,20260905,16,612,0.0810839599778112,odbc
node,odbc,0,20260905,17,593,0.0780570546045984,odbc
node,odbc,0,20260905,18,447,0.0758867183663276,odbc
node,odbc,0,20260905,19,901,0.074067155209126,odbc
node,odbc,0,20260905,20,156,0.0734041415826478,odbc
node,odbc,0,20260905,21,694,0.073372843849078,odbc
node,odbc,0,20260905,22,814,0.0725990404050205,odbc
node,odbc,0,20260905,23,1551,0.0718943003311682,odbc
node,odbc,0,20260905,24,350,0.0706297526501698,odbc
node,odbc,0,20260905,25,1173,0.0700609288621839,odbc
node,odbc,0,20260905,26,442,0.0687258884480104,odbc
node,odbc,0,20260905,27,998,0.0681891605011737,odbc
node,odbc,0,20260905,28,1328,0.0681334693954455,odbc
node,odbc,0,20260905,29,1172,0.0678828669211645,odbc
node,odbc,0,20260905,30,992,0.0677255221893011,odbc
node,odbc,0,20260905,31,604,0.0668364040537694,odbc
node,odbc,0,20260905,32,501,0.0656737146436317,odbc
node,odbc,0,20260905,33,617,0.0654116393691126,odbc
node,odbc,0,20260905,34,357,0.0649677696680331,odbc
node,odbc,0,20260905,35,1518,0.0642690069451867,odbc
node,odbc,0,20260905,36,1185,0.0641595193686407,odbc
node,odbc,0,20260905,37,590,0.0630842512875606,odbc
node,odbc,0,20260905,38,54,0.0630355052037835,odbc
node,odbc,0,20260905,39,157,0.0617078249703962,odbc
node,odbc,0,20260905,40,126,0.0615531304505416,odbc
node,odbc,0,20260905,41,498,0.0614421643110375,odbc
node,odbc,0,20260905,42,450,0.0609603683214518,odbc
node,odbc,0,20260905,43,346,0.0606517858883701,odbc
