component,strategy,metric,auc,f90,f80,f50
link,lscc,od_eff_norm,0.39893237130870873,0.012895624571863934,0.029308450893601436,0.09821832047805551
link,lscc,lscc_norm,0.20284974093264246,0.009006075478378683,0.018012150956757365,0.07612734027828368
link,lscc,reachable_demand_share,0.1951958239510001,0.008046537330351015,0.01609307466070203,0.05976636059972029
link,lscc,td_loss,2.511834054331737,0.002492757209057901,0.006231893022644752,0.012463786045289504
link,od_eff,od_eff_norm,0.12021787728480417,0.003789668459498281,0.007579336918996562,0.01894834229749141
link,od_eff,lscc_norm,0.36044365284974095,0.02391239031239031,0.04743733433388604,0.1315393668334845
link,od_eff,reachable_demand_share,0.17047693818784213,0.006847808394808068,0.013695616789616135,0.043522135540535016
link,od_eff,td_loss,2.586149097559257,0.002115194181451133,0.005287985453627832,0.010575970907255663
link,odbc,od_eff_norm,0.37097300390608434,0.01572925665186958,0.03335685167631182,0.0918408543624618
link,odbc,lscc_norm,0.3055861398963731,0.027415560088827413,0.061690580057927,0.09764620212381409
link,odbc,reachable_demand_share,0.26204158146029866,0.02026060911423652,0.04868324427809531,0.08199147613648108
link,odbc,td_loss,2.344307451198257,0.004719014883941099,0.011797537209852748,0.024044087014101618
link,random,od_eff_norm,0.4156811459726209,0.027974034686575534,0.05409046669492014,0.13152706560855246
link,random,lscc_norm,0.33179835924006906,0.045013951390656164,0.07561476679123738,0.1366955278130063
link,random,reachable_demand_share,0.3321863642815763,0.04032365710452737,0.06868903247404809,0.13242037058588607
link,random,td_loss,2.1502150667097752,0.011567364354588779,0.026583747609155092,0.046890247259322754
link,td,od_eff_norm,0.27926965327643893,0.005550987137604227,0.011101974275208454,0.04950974421529678
link,td,lscc_norm,0.3365608808290156,0.017354403871257806,0.06068336137301653,0.14170020480700093
link,td,reachable_demand_share,0.1618695608557225,0.0048880478320079915,0.009776095664015983,0.03456066272150263
link,td,td_loss,2.6133790184173056,0.0015582996421746546,0.003895749105436636,0.007791498210873272
node,lscc,od_eff_norm,0.4026823055700085,0.014709953078723581,0.03333640893654405,0.09269844715767303
node,lscc,lscc_norm,0.26134167358260624,0.011380627661411586,0.025004266801037036,0.09924644133885556
node,lscc,reachable_demand_share,0.22188405924883664,0.010391381191648997,0.020976292627616612,0.08031060608779317
node,lscc,td_loss,2.4387355193422557,0.0031782209843075095,0.007945552460768774,0.015891104921537547
node,od_eff,od_eff_norm,0.09511868849606477,0.00371500534640035,0.0074300106928007,0.018575026732001756
node,od_eff,lscc_norm,0.4183699504295359,0.027864479432857962,0.061502951751076354,0.12521638776687827
node,od_eff,reachable_demand_share,0.13841603051824072,0.006199641047754474,0.012399282095508947,0.032652140131719166
node,od_eff,td_loss,2.6717406980278393,0.0019523987285199793,0.004880996821299948,0.009761993642599895
node,odbc,od_eff_norm,0.325469786301607,0.01073425473249122,0.0225485375970621,0.0756052291128863
node,odbc,lscc_norm,0.3673868589671698,0.027013353383809252,0.05952858827366467,0.14837393499125984
node,odbc,reachable_demand_share,0.23995377719617494,0.01254922832165644,0.02523409575445259,0.0783459376985631
node,odbc,td_loss,2.419877319009233,0.0034034573421522674,0.008508643355380667,0.017017286710761335
node,random,od_eff_norm,0.3401262639878939,0.017925503892411137,0.037023134020795906,0.1005278264500642
node,random,lscc_norm,0.28748579428631243,0.03253759150420926,0.056790949615657296,0.11229866596099444
node,random,reachable_demand_share,0.2574871942679147,0.02283604439967569,0.04412826638277172,0.09776370813628177
node,random,td_loss,2.3469871704579393,0.006339269108247239,0.015848172770618098,0.03117203087508043
node,td,od_eff_norm,0.20284578170129752,0.004500000909176002,0.009000001818352005,0.027074352754410762
node,td,lscc_norm,0.4393434717268914,0.025621736373804056,0.06486954351928383,0.16926331986920562
node,td,reachable_demand_share,0.12388550071263899,0.004424501453021294,0.008849002906042588,0.02522834795559778
node,td,td_loss,2.7118058529126112,0.0014185747271597891,0.003546436817899472,0.007092873635798944
